,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,SensorTime,Time,Label
0,0.03,0.04,0,-20.06,-12.44,0,-3.02,-9.08,1.08,-0.08,0.66,-0.68,0.32,356788,0,T
1,0.02,0.04,0,-20.06,-12.44,0,-3.02,-9.08,1.08,-0.08,0.66,-0.68,0.32,357798,1010,T
2,0.02,0.04,0,-20.06,-12.44,0,-2.99,-9.08,1.12,-0.08,0.66,-0.68,0.32,358810,2022,T
3,0.02,0.04,0,-20.06,-12.44,0,-2.95,-9.16,1.04,-0.08,0.66,-0.68,0.32,359558,2770,T
4,0.02,0.04,0,-20.06,-12.44,0,-3.14,-9.16,1.04,-0.08,0.66,-0.68,0.32,359592,2804,T
5,0.02,0.04,0,-20.06,-12.44,0,-2.83,-9.12,0.96,-0.08,0.66,-0.68,0.32,359610,2822,T
6,0.02,0.04,0,-22.12,-13.19,10,-2.83,-9.12,0.96,-0.08,0.66,-0.68,0.32,359630,2842,T
7,0.02,0.04,0,-22.12,-13.19,10,-2.83,-9.2,0.93,-0.08,0.66,-0.68,0.32,359649,2861,T
8,-0.01,-0.01,0.01,-22.12,-13.19,10,-2.83,-9.2,0.93,-0.08,0.66,-0.68,0.32,359665,2877,T
9,-0.01,-0.01,0.01,-22.12,-13.19,10,-2.83,-9.16,0.96,-0.08,0.66,-0.68,0.32,359679,2891,T
10,-0.01,-0.01,0,-22.12,-13.19,10,-2.83,-9.16,0.96,-0.08,0.66,-0.68,0.32,359695,2907,T
11,-0.01,-0.01,0,-22.12,-13.19,10,-2.83,-9.16,0.96,-0.1,0.66,-0.67,0.32,359784,2996,T
12,-0.01,-0.01,0,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,359804,3016,T
13,-0.01,-0.02,0,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,359832,3044,T
14,-0.01,-0.02,0,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,359875,3087,T
15,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,359898,3110,T
16,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,359913,3125,T
17,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,1,-0.1,0.66,-0.67,0.32,359926,3138,T
18,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,0.96,-0.1,0.66,-0.67,0.32,359940,3152,T
19,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,0.96,-0.1,0.66,-0.67,0.32,359960,3172,T
20,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.12,0.96,-0.1,0.66,-0.67,0.32,359975,3187,T
21,0,-0.01,-0.01,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,359999,3211,T
22,0.01,0,0,-22.12,-13.19,10,-2.87,-9.16,0.96,-0.1,0.66,-0.67,0.32,360015,3227,T
23,0.01,0,0,-22.12,-13.19,10,-2.91,-9.12,1,-0.1,0.66,-0.67,0.32,360030,3242,T
24,0,-0.01,0,-22.12,-13.19,10,-2.91,-9.12,1,-0.1,0.66,-0.67,0.32,360044,3256,T
25,0,-0.01,0,-22.12,-13.19,10,-2.91,-9.12,1,-0.1,0.66,-0.67,0.32,360064,3276,T
26,0,-0.01,0,-22.12,-13.19,10,-2.87,-9.12,1.04,-0.1,0.66,-0.67,0.32,360077,3289,T
27,0,-0.01,0,-22.12,-13.19,10,-2.87,-9.2,0.96,-0.1,0.66,-0.67,0.32,360100,3312,T
28,0.01,0.03,0.01,-22.12,-13.19,10,-2.87,-9.2,0.96,-0.1,0.66,-0.67,0.32,360890,4102,T
29,0.01,0.03,0.01,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,360915,4127,T
30,0.11,0.36,-0.17,-22.12,-13.19,10,-2.87,-9.16,1,-0.1,0.66,-0.67,0.32,360932,4144,T
31,0.11,0.36,-0.17,-22.12,-13.19,10,-2.3,-9.23,0.85,-0.1,0.66,-0.67,0.32,360947,4159,T
32,0.06,0.62,-0.39,-22.12,-13.19,10,-2.3,-9.23,0.85,-0.1,0.66,-0.67,0.32,361312,4524,T
33,0.06,0.62,-0.39,-22.12,-13.19,10,-1.87,-9.39,0.77,-0.1,0.66,-0.67,0.32,361343,4555,T
34,0.06,0.62,-0.39,-22.12,-13.19,10,-1.76,-9.43,0.73,-0.1,0.66,-0.67,0.32,361357,4569,T
35,0.06,0.62,-0.39,-21.81,-14.44,2.56,-1.76,-9.43,0.73,-0.1,0.66,-0.67,0.32,361374,4586,T
36,0.06,0.62,-0.39,-21.81,-14.44,2.56,-2.03,-9.31,0.93,-0.1,0.66,-0.67,0.32,361392,4604,T
37,0,0.62,-0.12,-21.81,-14.44,2.56,-2.03,-9.31,0.93,-0.1,0.66,-0.67,0.32,361407,4619,T
