,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,4.37,-0.19,5.56,-1.46,-6.01,-0.23,0.00,0.00,0.00,-0.02,0.30,0.32,0.90
1,6.06,-0.31,2.81,-1.46,-6.01,-0.23,0.00,0.00,0.00,-0.02,0.30,0.32,0.90
2,6.06,-0.31,2.81,-0.20,-7.76,-0.21,0.00,0.00,0.00,-0.02,0.30,0.32,0.90
3,6.06,-0.31,2.81,-0.20,-7.76,-0.21,0.00,0.00,0.00,0.03,0.00,0.32,0.95
4,6.06,-0.31,2.81,-0.13,-4.40,0.02,0.00,0.00,0.00,0.03,0.00,0.32,0.95
5,2.87,-2.00,-1.31,-0.13,-4.40,0.02,0.00,0.00,0.00,0.03,0.00,0.32,0.95
6,2.87,-2.00,-1.31,-0.33,-1.03,0.06,0.00,0.00,0.00,0.03,0.00,0.32,0.95
7,2.87,-2.00,-1.31,-0.33,-1.03,0.06,0.00,0.00,0.00,0.10,-0.22,0.30,0.92
8,2.87,-2.00,-1.31,0.28,3.18,-0.03,0.00,0.00,0.00,0.10,-0.22,0.30,0.92
9,2.37,0.75,-0.13,0.28,3.18,-0.03,0.00,0.00,0.00,0.10,-0.22,0.30,0.92
10,2.37,0.75,-0.13,0.52,6.94,-0.04,0.00,0.00,0.00,0.10,-0.22,0.30,0.92
11,2.37,0.75,-0.13,0.52,6.94,-0.04,0.00,0.00,0.00,0.06,-0.07,0.32,0.94
12,2.37,0.75,-0.13,1.66,6.36,-0.16,0.00,0.00,0.00,0.06,-0.07,0.32,0.94
13,3.19,1.37,1.75,1.66,6.36,-0.16,0.00,0.00,0.00,0.06,-0.07,0.32,0.94
14,3.19,1.37,1.75,0.75,3.33,-0.09,0.00,0.00,0.00,0.06,-0.07,0.32,0.94
15,3.19,1.37,1.75,0.75,3.33,-0.09,0.00,0.00,0.00,0.02,0.23,0.32,0.92
16,3.19,1.37,1.75,-0.29,0.15,-0.27,0.00,0.00,0.00,0.02,0.23,0.32,0.92
17,4.81,-0.94,4.75,-0.29,0.15,-0.27,0.00,0.00,0.00,0.02,0.23,0.32,0.92
