,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,3.94,2.12,2.56,-0.40,-0.42,-0.34,0.00,0.00,0.00,-0.00,0.26,0.32,0.91
1,3.56,-0.94,4.37,-0.40,-0.42,-0.34,0.00,0.00,0.00,-0.00,0.26,0.32,0.91
2,3.56,-0.94,4.37,-1.71,-5.69,-0.36,0.00,0.00,0.00,-0.00,0.26,0.32,0.91
3,3.56,-0.94,4.37,-1.71,-5.69,-0.36,0.00,0.00,0.00,-0.02,0.22,0.32,0.92
4,3.56,-0.94,4.37,-1.15,-7.88,-0.19,0.00,0.00,0.00,-0.02,0.22,0.32,0.92
5,4.37,2.12,2.94,-1.15,-7.88,-0.19,0.00,0.00,0.00,-0.02,0.22,0.32,0.92
6,4.37,2.12,2.94,0.68,-5.55,-0.08,0.00,0.00,0.00,-0.02,0.22,0.32,0.92
7,4.37,2.12,2.94,0.68,-5.55,-0.08,0.00,0.00,0.00,0.05,-0.13,0.32,0.94
8,4.37,2.12,2.94,0.34,-1.24,0.21,0.00,0.00,0.00,0.05,-0.13,0.32,0.94
9,1.62,-0.31,-2.81,0.34,-1.24,0.21,0.00,0.00,0.00,0.05,-0.13,0.32,0.94
10,1.62,-0.31,-2.81,-0.35,3.51,0.28,0.00,0.00,0.00,0.05,-0.13,0.32,0.94
11,1.62,-0.31,-2.81,-0.35,3.51,0.28,0.00,0.00,0.00,0.08,-0.18,0.32,0.93
12,1.62,-0.31,-2.81,2.02,7.23,-0.13,0.00,0.00,0.00,0.08,-0.18,0.32,0.93
13,4.00,-0.69,0.25,2.02,7.23,-0.13,0.00,0.00,0.00,0.08,-0.18,0.32,0.93
14,4.00,-0.69,0.25,1.79,6.08,-0.18,0.00,0.00,0.00,0.08,-0.18,0.32,0.93
15,4.00,-0.69,0.25,1.79,6.08,-0.18,0.00,0.00,0.00,0.02,0.14,0.33,0.93
16,4.00,-0.69,0.25,0.75,2.55,0.19,0.00,0.00,0.00,0.02,0.14,0.33,0.93
17,3.94,1.75,2.94,0.75,2.55,0.19,0.00,0.00,0.00,0.02,0.14,0.33,0.93
18,3.94,1.75,2.94,-1.02,-1.05,0.20,0.00,0.00,0.00,0.02,0.14,0.33,0.93
19,3.94,1.75,2.94,-1.02,-1.05,0.20,0.00,0.00,0.00,0.01,0.26,0.33,0.91
20,3.94,1.75,2.94,-1.61,-4.34,-0.02,0.00,0.00,0.00,0.01,0.26,0.33,0.91
21,4.37,0.06,2.12,-1.61,-4.34,-0.02,0.00,0.00,0.00,0.01,0.26,0.33,0.91
22,4.37,0.06,2.12,-0.36,-7.59,-0.51,0.00,0.00,0.00,0.01,0.26,0.33,0.91
23,4.37,0.06,2.12,-0.36,-7.59,-0.51,0.00,0.00,0.00,0.03,0.04,0.34,0.94
24,4.37,0.06,2.12,0.15,-5.86,-0.15,0.00,0.00,0.00,0.03,0.04,0.34,0.94
25,2.37,1.69,-0.50,0.15,-5.86,-0.15,0.00,0.00,0.00,0.03,0.04,0.34,0.94
26,2.37,1.69,-0.50,-0.94,0.66,0.67,0.00,0.00,0.00,0.03,0.04,0.34,0.94
27,2.37,1.69,-0.50,-0.94,0.66,0.67,0.00,0.00,0.00,0.10,-0.20,0.32,0.92
28,2.37,1.69,-0.50,-0.37,6.26,0.69,0.00,0.00,0.00,0.10,-0.20,0.32,0.92
29,4.81,1.37,1.00,-0.37,6.26,0.69,0.00,0.00,0.00,0.10,-0.20,0.32,0.92
30,4.81,1.37,1.00,1.87,7.72,0.19,0.00,0.00,0.00,0.10,-0.20,0.32,0.92
31,4.81,1.37,1.00,1.87,7.72,0.19,0.00,0.00,0.00,0.02,0.05,0.35,0.94
32,4.81,1.37,1.00,1.67,5.64,-0.01,0.00,0.00,0.00,0.02,0.05,0.35,0.94
33,4.31,2.12,4.87,1.67,5.64,-0.01,0.00,0.00,0.00,0.02,0.05,0.35,0.94
34,4.31,2.12,4.87,0.59,2.88,-0.14,0.00,0.00,0.00,0.02,0.05,0.35,0.94
35,4.31,2.12,4.87,0.59,2.88,-0.14,0.00,0.00,0.00,-0.01,0.33,0.33,0.88
36,4.31,2.12,4.87,-0.50,-1.16,-0.39,0.00,0.00,0.00,-0.01,0.33,0.33,0.88
37,4.37,-0.19,5.56,-0.50,-1.16,-0.39,0.00,0.00,0.00,-0.01,0.33,0.33,0.88
38,4.37,-0.19,5.56,-1.61,-5.66,0.08,0.00,0.00,0.00,-0.01,0.33,0.33,0.88
39,4.37,-0.19,5.56,-1.61,-5.66,0.08,0.00,0.00,0.00,-0.01,0.26,0.33,0.90
40,4.37,-0.19,5.56,-1.62,-8.22,-0.19,0.00,0.00,0.00,-0.01,0.26,0.33,0.90
41,5.25,-1.00,2.12,-1.62,-8.22,-0.19,0.00,0.00,0.00,-0.01,0.26,0.33,0.90
42,5.25,-1.00,2.12,0.01,-6.11,0.26,0.00,0.00,0.00,-0.01,0.26,0.33,0.90
43,5.25,-1.00,2.12,0.01,-6.11,0.26,0.00,0.00,0.00,0.05,-0.10,0.34,0.93
44,5.25,-1.00,2.12,-0.18,-1.76,0.04,0.00,0.00,0.00,0.05,-0.10,0.34,0.93
45,3.31,-1.69,-1.00,-0.18,-1.76,0.04,0.00,0.00,0.00,0.05,-0.10,0.34,0.93
46,3.31,-1.69,-1.00,-0.13,2.78,0.41,0.00,0.00,0.00,0.05,-0.10,0.34,0.93
