,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,1.62,-2.06,-2.12,-0.93,6.99,-0.68,0.00,0.00,0.00,0.12,-0.12,0.36,0.92
1,1.62,-2.06,-2.12,-0.25,5.95,-0.47,0.00,0.00,0.00,0.12,-0.12,0.36,0.92
2,5.25,-2.00,2.44,-0.25,5.95,-0.47,0.00,0.00,0.00,0.12,-0.12,0.36,0.92
3,5.25,-2.00,2.44,0.30,3.20,-0.17,0.00,0.00,0.00,0.12,-0.12,0.36,0.92
4,5.25,-2.00,2.44,0.30,3.20,-0.17,0.00,0.00,0.00,0.00,0.14,0.35,0.92
5,5.25,-2.00,2.44,0.32,1.53,0.15,0.00,0.00,0.00,0.00,0.14,0.35,0.92
6,6.06,-1.00,3.56,0.32,1.53,0.15,0.00,0.00,0.00,0.00,0.14,0.35,0.92
7,6.06,-1.00,3.56,-0.24,-2.03,-0.01,0.00,0.00,0.00,0.00,0.14,0.35,0.92
8,6.06,-1.00,3.56,-0.24,-2.03,-0.01,0.00,0.00,0.00,-0.01,0.20,0.35,0.91
9,6.06,-1.00,3.56,-0.49,-5.33,0.23,0.00,0.00,0.00,-0.01,0.20,0.35,0.91
10,4.44,-1.00,1.69,-0.49,-5.33,0.23,0.00,0.00,0.00,-0.01,0.20,0.35,0.91
11,4.44,-1.00,1.69,-0.23,-6.00,0.00,0.00,0.00,0.00,-0.01,0.20,0.35,0.91
12,4.44,-1.00,1.69,-0.23,-6.00,0.00,0.00,0.00,0.00,0.06,-0.04,0.36,0.93
13,4.44,-1.00,1.69,0.60,-1.27,0.27,0.00,0.00,0.00,0.06,-0.04,0.36,0.93
14,3.56,1.00,-0.50,0.60,-1.27,0.27,0.00,0.00,0.00,0.06,-0.04,0.36,0.93
15,3.56,1.00,-0.50,0.04,4.99,0.02,0.00,0.00,0.00,0.06,-0.04,0.36,0.93
16,3.56,1.00,-0.50,0.04,4.99,0.02,0.00,0.00,0.00,0.09,-0.08,0.36,0.92
17,3.56,1.00,-0.50,0.08,7.56,-0.27,0.00,0.00,0.00,0.09,-0.08,0.36,0.92
18,5.69,-1.69,1.25,0.08,7.56,-0.27,0.00,0.00,0.00,0.09,-0.08,0.36,0.92
19,5.69,-1.69,1.25,-0.17,5.11,-0.72,0.00,0.00,0.00,0.09,-0.08,0.36,0.92
20,5.69,-1.69,1.25,-0.17,5.11,-0.72,0.00,0.00,0.00,-0.04,0.23,0.36,0.90
21,5.69,-1.69,1.25,0.72,1.58,-0.02,0.00,0.00,0.00,-0.04,0.23,0.36,0.90
22,3.50,-0.19,6.69,0.72,1.58,-0.02,0.00,0.00,0.00,-0.04,0.23,0.36,0.90
23,3.50,-0.19,6.69,-0.61,-2.71,0.30,0.00,0.00,0.00,-0.04,0.23,0.36,0.90
24,3.50,-0.19,6.69,-0.61,-2.71,0.30,0.00,0.00,0.00,-0.04,0.31,0.35,0.89
25,3.50,-0.19,6.69,-0.89,-6.79,0.46,0.00,0.00,0.00,-0.04,0.31,0.35,0.89
26,5.69,-0.94,3.62,-0.89,-6.79,0.46,0.00,0.00,0.00,-0.04,0.31,0.35,0.89
27,5.69,-0.94,3.62,-0.34,-7.14,-0.21,0.00,0.00,0.00,-0.04,0.31,0.35,0.89
28,5.69,-0.94,3.62,-0.34,-7.14,-0.21,0.00,0.00,0.00,0.04,0.01,0.37,0.93
29,5.69,-0.94,3.62,0.61,-4.06,-0.10,0.00,0.00,0.00,0.04,0.01,0.37,0.93
30,4.94,-2.37,-0.62,0.61,-4.06,-0.10,0.00,0.00,0.00,0.04,0.01,0.37,0.93
31,4.94,-2.37,-0.62,-0.04,0.62,0.03,0.00,0.00,0.00,0.04,0.01,0.37,0.93
32,4.94,-2.37,-0.62,-0.04,0.62,0.03,0.00,0.00,0.00,0.12,-0.16,0.35,0.91
33,4.94,-2.37,-0.62,0.02,4.77,-0.22,0.00,0.00,0.00,0.12,-0.16,0.35,0.91
34,4.44,-1.00,-0.56,0.02,4.77,-0.22,0.00,0.00,0.00,0.12,-0.16,0.35,0.91
35,4.44,-1.00,-0.56,0.03,6.64,-0.27,0.00,0.00,0.00,0.12,-0.16,0.35,0.91
36,4.44,-1.00,-0.56,0.03,6.64,-0.27,0.00,0.00,0.00,0.04,0.04,0.37,0.93
37,4.44,-1.00,-0.56,0.02,4.65,-0.41,0.00,0.00,0.00,0.04,0.04,0.37,0.93
38,4.00,-0.62,3.19,0.02,4.65,-0.41,0.00,0.00,0.00,0.04,0.04,0.37,0.93
