,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,5.19,1.37,2.87,9,-4.84,0.44,0.00,0.00,0.00,0.04,0.14,0.32,0.94
1,3.25,0.37,0.19,0.29,-4.84,0.44,0.00,0.00,0.00,0.04,0.14,0.32,0.94
2,3.25,0.37,0.19,-0.04,-4.49,0.41,0.00,0.00,0.00,0.04,0.14,0.32,0.94
3,3.25,0.37,0.19,-0.04,-4.49,0.41,0.00,0.00,0.00,0.12,-0.08,0.31,0.94
4,3.25,0.37,0.19,-0.41,-2.28,0.26,0.00,0.00,0.00,0.12,-0.08,0.31,0.94
5,2.87,-1.37,-1.75,-0.41,-2.28,0.26,0.00,0.00,0.00,0.12,-0.08,0.31,0.94
6,2.87,-1.37,-1.75,0.15,2.99,0.53,0.00,0.00,0.00,0.12,-0.08,0.31,0.94
7,2.87,-1.37,-1.75,0.15,2.99,0.53,0.00,0.00,0.00,0.13,-0.15,0.32,0.93
8,2.87,-1.37,-1.75,0.09,4.90,-0.38,0.00,0.00,0.00,0.13,-0.15,0.32,0.93
9,2.44,-1.69,-1.31,0.09,4.90,-0.38,0.00,0.00,0.00,0.13,-0.15,0.32,0.93
10,2.44,-1.69,-1.31,0.38,4.10,-0.84,0.00,0.00,0.00,0.13,-0.15,0.32,0.93
11,2.44,-1.69,-1.31,0.38,4.10,-0.84,0.00,0.00,0.00,0.06,0.06,0.33,0.94
12,2.44,-1.69,-1.31,-0.14,2.34,-0.47,0.00,0.00,0.00,0.06,0.06,0.33,0.94
13,4.81,0.37,1.75,-0.14,2.34,-0.47,0.00,0.00,0.00,0.06,0.06,0.33,0.94
14,4.81,0.37,1.75,-0.00,1.60,0.02,0.00,0.00,0.00,0.06,0.06,0.33,0.94
15,4.81,0.37,1.75,-0.00,1.60,0.02,0.00,0.00,0.00,0.02,0.18,0.31,0.93
16,4.81,0.37,1.75,-0.13,0.81,0.14,0.00,0.00,0.00,0.02,0.18,0.31,0.93
17,4.37,-0.25,3.19,-0.13,0.81,0.14,0.00,0.00,0.00,0.02,0.18,0.31,0.93
