,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,0.37,-2.00,-3.19,-0.35,7.71,-0.50,0.00,0.00,0.00,0.10,-0.24,0.32,0.91
1,4.81,2.06,1.37,-0.35,7.71,-0.50,0.00,0.00,0.00,0.10,-0.24,0.32,0.91
2,4.81,2.06,1.37,2.01,6.79,-0.08,0.00,0.00,0.00,0.10,-0.24,0.32,0.91
3,4.81,2.06,1.37,2.01,6.79,-0.08,0.00,0.00,0.00,0.01,0.12,0.32,0.94
4,4.81,2.06,1.37,0.45,1.93,-0.28,0.00,0.00,0.00,0.01,0.12,0.32,0.94
5,3.94,0.75,2.94,0.45,1.93,-0.28,0.00,0.00,0.00,0.01,0.12,0.32,0.94
6,3.94,0.75,2.94,-1.65,-4.21,-0.39,0.00,0.00,0.00,0.01,0.12,0.32,0.94
7,3.94,0.75,2.94,-1.65,-4.21,-0.39,0.00,0.00,0.00,-0.00,0.21,0.31,0.93
8,3.94,0.75,2.94,-1.88,-7.88,-0.27,0.00,0.00,0.00,-0.00,0.21,0.31,0.93
9,4.81,1.06,1.81,-1.88,-7.88,-0.27,0.00,0.00,0.00,-0.00,0.21,0.31,0.93
10,4.81,1.06,1.81,0.60,-7.68,0.09,0.00,0.00,0.00,-0.00,0.21,0.31,0.93
11,4.81,1.06,1.81,0.60,-7.68,0.09,0.00,0.00,0.00,0.05,-0.16,0.30,0.94
12,4.81,1.06,1.81,0.85,-3.52,-0.06,0.00,0.00,0.00,0.05,-0.16,0.30,0.94
13,0.75,1.06,-2.00,0.85,-3.52,-0.06,0.00,0.00,0.00,0.05,-0.16,0.30,0.94
14,0.75,1.06,-2.00,-0.15,4.29,0.70,0.00,0.00,0.00,0.05,-0.16,0.30,0.94
15,0.75,1.06,-2.00,-0.15,4.29,0.70,0.00,0.00,0.00,0.12,-0.28,0.30,0.90
16,0.75,1.06,-2.00,-0.64,10.43,0.23,0.00,0.00,0.00,0.12,-0.28,0.30,0.90
17,4.00,0.00,-0.13,-0.64,10.43,0.23,0.00,0.00,0.00,0.12,-0.28,0.30,0.90
18,4.00,0.00,-0.13,2.17,8.33,-0.00,0.00,0.00,0.00,0.12,-0.28,0.30,0.90
19,4.00,0.00,-0.13,2.17,8.33,-0.00,0.00,0.00,0.00,-0.00,0.13,0.33,0.93
20,4.00,0.00,-0.13,0.67,2.77,0.07,0.00,0.00,0.00,-0.00,0.13,0.33,0.93
21,4.81,0.44,4.50,0.67,2.77,0.07,0.00,0.00,0.00,-0.00,0.13,0.33,0.93
22,4.81,0.44,4.50,-1.33,-4.10,0.16,0.00,0.00,0.00,-0.00,0.13,0.33,0.93
23,4.81,0.44,4.50,-1.33,-4.10,0.16,0.00,0.00,0.00,-0.01,0.26,0.33,0.91
24,4.81,0.44,4.50,-1.92,-8.35,-0.09,0.00,0.00,0.00,-0.01,0.26,0.33,0.91
25,6.06,-0.62,2.87,-1.92,-8.35,-0.09,0.00,0.00,0.00,-0.01,0.26,0.33,0.91
26,6.06,-0.62,2.87,-0.36,-7.49,-0.22,0.00,0.00,0.00,-0.01,0.26,0.33,0.91
27,6.06,-0.62,2.87,-0.36,-7.49,-0.22,0.00,0.00,0.00,0.04,-0.11,0.33,0.94
28,6.06,-0.62,2.87,0.34,-3.84,-0.28,0.00,0.00,0.00,0.04,-0.11,0.33,0.94
29,2.00,1.06,-2.06,0.34,-3.84,-0.28,0.00,0.00,0.00,0.04,-0.11,0.33,0.94
30,2.00,1.06,-2.06,-0.46,0.92,0.15,0.00,0.00,0.00,0.04,-0.11,0.33,0.94
31,2.00,1.06,-2.06,-0.46,0.92,0.15,0.00,0.00,0.00,0.11,-0.28,0.31,0.90
32,2.00,1.06,-2.06,-0.35,6.60,0.66,0.00,0.00,0.00,0.11,-0.28,0.31,0.90
33,3.25,-0.69,-1.31,-0.35,6.60,0.66,0.00,0.00,0.00,0.11,-0.28,0.31,0.90
34,3.25,-0.69,-1.31,2.24,7.57,0.04,0.00,0.00,0.00,0.11,-0.28,0.31,0.90
35,3.25,-0.69,-1.31,2.24,7.57,0.04,0.00,0.00,0.00,0.04,-0.01,0.34,0.94
36,3.25,-0.69,-1.31,1.46,5.49,0.05,0.00,0.00,0.00,0.04,-0.01,0.34,0.94
37,5.69,-0.25,3.31,1.46,5.49,0.05,0.00,0.00,0.00,0.04,-0.01,0.34,0.94
38,5.69,-0.25,3.31,-0.80,-0.80,-0.21,0.00,0.00,0.00,0.04,-0.01,0.34,0.94
39,5.69,-0.25,3.31,-0.80,-0.80,-0.21,0.00,0.00,0.00,0.02,0.23,0.34,0.91
40,5.69,-0.25,3.31,-2.43,-6.69,-0.09,0.00,0.00,0.00,0.02,0.23,0.34,0.91
41,3.19,0.44,2.19,-2.43,-6.69,-0.09,0.00,0.00,0.00,0.02,0.23,0.34,0.91
42,3.19,0.44,2.19,-1.33,-8.90,-0.65,0.00,0.00,0.00,0.02,0.23,0.34,0.91
43,3.19,0.44,2.19,-1.33,-8.90,-0.65,0.00,0.00,0.00,0.03,-0.09,0.33,0.94
44,3.19,0.44,2.19,0.39,-5.69,-0.27,0.00,0.00,0.00,0.03,-0.09,0.33,0.94
45,0.37,-1.62,-2.81,0.39,-5.69,-0.27,0.00,0.00,0.00,0.03,-0.09,0.33,0.94
46,0.37,-1.62,-2.81,0.09,0.13,0.41,0.00,0.00,0.00,0.03,-0.09,0.33,0.94
47,0.37,-1.62,-2.81,0.09,0.13,0.41,0.00,0.00,0.00,0.11,-0.33,0.31,0.89
48,0.37,-1.62,-2.81,0.10,4.80,0.53,0.00,0.00,0.00,0.11,-0.33,0.31,0.89
49,2.00,1.37,-1.62,0.10,4.80,0.53,0.00,0.00,0.00,0.11,-0.33,0.31,0.89
50,2.00,1.37,-1.62,2.29,7.27,-0.17,0.00,0.00,0.00,0.11,-0.33,0.31,0.89
51,2.00,1.37,-1.62,2.29,7.27,-0.17,0.00,0.00,0.00,0.03,-0.12,0.35,0.93
52,2.00,1.37,-1.62,2.45,7.26,-0.09,0.00,0.00,0.00,0.03,-0.12,0.35,0.93
53,4.37,0.06,2.56,2.45,7.26,-0.09,0.00,0.00,0.00,0.03,-0.12,0.35,0.93
54,4.37,0.06,2.56,0.94,2.14,0.12,0.00,0.00,0.00,0.03,-0.12,0.35,0.93
55,4.37,0.06,2.56,0.94,2.14,0.12,0.00,0.00,0.00,0.01,0.21,0.35,0.91
56,4.37,0.06,2.56,-1.43,-3.88,0.02,0.00,0.00,0.00,0.01,0.21,0.35,0.91
57,6.06,1.06,1.81,-1.43,-3.88,0.02,0.00,0.00,0.00,0.01,0.21,0.35,0.91
58,6.06,1.06,1.81,-2.29,-7.31,-0.21,0.00,0.00,0.00,0.01,0.21,0.35,0.91
59,6.06,1.06,1.81,-2.29,-7.31,-0.21,0.00,0.00,0.00,0.02,0.03,0.35,0.93
60,6.06,1.06,1.81,-1.03,-6.42,-0.36,0.00,0.00,0.00,0.02,0.03,0.35,0.93
61,3.69,0.37,-0.88,-1.03,-6.42,-0.36,0.00,0.00,0.00,0.02,0.03,0.35,0.93
62,3.69,0.37,-0.88,0.68,-2.45,-0.17,0.00,0.00,0.00,0.02,0.03,0.35,0.93
63,3.69,0.37,-0.88,0.68,-2.45,-0.17,0.00,0.00,0.00,0.08,-0.26,0.32,0.91
64,3.69,0.37,-0.88,-0.04,3.99,0.45,0.00,0.00,0.00,0.08,-0.26,0.32,0.91
65,1.56,0.75,-0.88,-0.04,3.99,0.45,0.00,0.00,0.00,0.08,-0.26,0.32,0.91
66,1.56,0.75,-0.88,2.23,7.72,-0.37,0.00,0.00,0.00,0.08,-0.26,0.32,0.91
67,1.56,0.75,-0.88,2.23,7.72,-0.37,0.00,0.00,0.00,0.02,-0.10,0.35,0.93
68,1.56,0.75,-0.88,1.82,6.97,-0.14,0.00,0.00,0.00,0.02,-0.10,0.35,0.93
69,4.00,0.06,2.56,1.82,6.97,-0.14,0.00,0.00,0.00,0.02,-0.10,0.35,0.93
