,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,5.62,0.44,3.25,0.19,-2.47,-0.35,0.00,0.00,0.00,0.04,-0.08,0.35,0.93
1,4.00,1.31,-1.62,0.19,-2.47,-0.35,0.00,0.00,0.00,0.04,-0.08,0.35,0.93
2,4.00,1.31,-1.62,0.91,2.62,-0.16,0.00,0.00,0.00,0.04,-0.08,0.35,0.93
3,4.00,1.31,-1.62,0.91,2.62,-0.16,0.00,0.00,0.00,0.09,-0.18,0.35,0.92
4,4.00,1.31,-1.62,1.40,6.29,0.00,0.00,0.00,0.00,0.09,-0.18,0.35,0.92
5,4.44,-0.31,0.25,1.40,6.29,0.00,0.00,0.00,0.00,0.09,-0.18,0.35,0.92
6,4.44,-0.31,0.25,3.09,8.26,-0.05,0.00,0.00,0.00,0.09,-0.18,0.35,0.92
7,4.44,-0.31,0.25,3.09,8.26,-0.05,0.00,0.00,0.00,0.03,0.12,0.36,0.92
8,4.44,-0.31,0.25,1.36,4.37,0.09,0.00,0.00,0.00,0.03,0.12,0.36,0.92
9,5.25,-1.25,5.12,1.36,4.37,0.09,0.00,0.00,0.00,0.03,0.12,0.36,0.92
10,5.25,-1.25,5.12,0.07,-0.04,-0.19,0.00,0.00,0.00,0.03,0.12,0.36,0.92
11,5.25,-1.25,5.12,0.07,-0.04,-0.19,0.00,0.00,0.00,0.02,0.34,0.35,0.87
12,5.25,-1.25,5.12,-1.39,-5.29,-0.31,0.00,0.00,0.00,0.02,0.34,0.35,0.87
13,5.62,-0.94,5.12,-1.39,-5.29,-0.31,0.00,0.00,0.00,0.02,0.34,0.35,0.87
14,5.62,-0.94,5.12,-1.94,-6.95,-0.14,0.00,0.00,0.00,0.02,0.34,0.35,0.87
15,5.62,-0.94,5.12,-1.94,-6.95,-0.14,0.00,0.00,0.00,0.04,0.11,0.35,0.93
16,5.62,-0.94,5.12,-1.18,-4.99,0.32,0.00,0.00,0.00,0.04,0.11,0.35,0.93
17,4.44,-0.31,1.00,-1.18,-4.99,0.32,0.00,0.00,0.00,0.04,0.11,0.35,0.93
18,4.44,-0.31,1.00,0.37,-0.87,0.05,0.00,0.00,0.00,0.04,0.11,0.35,0.93
19,4.44,-0.31,1.00,0.37,-0.87,0.05,0.00,0.00,0.00,0.07,-0.12,0.34,0.93
20,4.44,-0.31,1.00,0.45,3.95,0.07,0.00,0.00,0.00,0.07,-0.12,0.34,0.93
21,4.44,-0.31,-0.56,0.45,3.95,0.07,0.00,0.00,0.00,0.07,-0.12,0.34,0.93
22,4.44,-0.31,-0.56,3.19,6.42,0.10,0.00,0.00,0.00,0.07,-0.12,0.34,0.93
23,4.44,-0.31,-0.56,3.19,6.42,0.10,0.00,0.00,0.00,0.03,0.05,0.36,0.93
24,4.44,-0.31,-0.56,1.57,5.55,0.21,0.00,0.00,0.00,0.03,0.05,0.36,0.93
25,4.81,0.75,3.31,1.57,5.55,0.21,0.00,0.00,0.00,0.03,0.05,0.36,0.93
26,4.81,0.75,3.31,0.89,2.52,-0.03,0.00,0.00,0.00,0.03,0.05,0.36,0.93
27,4.81,0.75,3.31,0.89,2.52,-0.03,0.00,0.00,0.00,0.01,0.31,0.35,0.88
28,4.81,0.75,3.31,-0.51,-2.12,-0.28,0.00,0.00,0.00,0.01,0.31,0.35,0.88
29,4.81,-0.94,5.19,-0.51,-2.12,-0.28,0.00,0.00,0.00,0.01,0.31,0.35,0.88
30,4.81,-0.94,5.19,-1.60,-6.02,-0.23,0.00,0.00,0.00,0.01,0.31,0.35,0.88
31,4.81,-0.94,5.19,-1.60,-6.02,-0.23,0.00,0.00,0.00,0.02,0.21,0.35,0.91
32,4.81,-0.94,5.19,-1.79,-6.50,0.23,0.00,0.00,0.00,0.02,0.21,0.35,0.91
33,6.06,0.06,2.50,-1.79,-6.50,0.23,0.00,0.00,0.00,0.02,0.21,0.35,0.91
34,6.06,0.06,2.50,-0.89,-3.83,0.37,0.00,0.00,0.00,0.02,0.21,0.35,0.91
35,6.06,0.06,2.50,-0.89,-3.83,0.37,0.00,0.00,0.00,0.05,-0.09,0.35,0.93
