,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,3.69,-1.00,0.56,0.98,4.07,0.01,0.00,0.00,0.00,0.05,-0.04,0.32,0.95
1,3.69,-1.00,0.56,0.98,4.07,0.01,0.00,0.00,0.00,0.04,0.06,0.32,0.95
2,3.69,-1.00,0.56,1.41,5.31,0.10,0.00,0.00,0.00,0.04,0.06,0.32,0.95
3,4.37,1.19,4.87,1.41,5.31,0.10,0.00,0.00,0.00,0.04,0.06,0.32,0.95
4,4.37,1.19,4.87,0.77,3.25,0.33,0.00,0.00,0.00,0.04,0.06,0.32,0.95
5,4.37,1.19,4.87,0.77,3.25,0.33,0.00,0.00,0.00,0.02,0.29,0.32,0.90
6,4.37,1.19,4.87,0.04,1.15,0.43,0.00,0.00,0.00,0.02,0.29,0.32,0.90
7,3.94,-0.19,5.94,0.04,1.15,0.43,0.00,0.00,0.00,0.02,0.29,0.32,0.90
8,3.94,-0.19,5.94,-1.52,-5.02,0.17,0.00,0.00,0.00,0.02,0.29,0.32,0.90
9,3.94,-0.19,5.94,-1.52,-5.02,0.17,0.00,0.00,0.00,0.02,0.31,0.34,0.89
10,3.94,-0.19,5.94,-2.34,-10.24,-0.36,0.00,0.00,0.00,0.02,0.31,0.34,0.89
11,5.19,1.12,3.31,-2.34,-10.24,-0.36,0.00,0.00,0.00,0.02,0.31,0.34,0.89
12,5.19,1.12,3.31,-1.54,-6.85,-0.13,0.00,0.00,0.00,0.02,0.31,0.34,0.89
13,5.19,1.12,3.31,-1.54,-6.85,-0.13,0.00,0.00,0.00,0.07,-0.13,0.33,0.93
14,5.19,1.12,3.31,-0.52,-2.78,-0.36,0.00,0.00,0.00,0.07,-0.13,0.33,0.93
15,2.44,1.06,-2.06,-0.52,-2.78,-0.36,0.00,0.00,0.00,0.07,-0.13,0.33,0.93
16,2.44,1.06,-2.06,-0.25,0.74,0.11,0.00,0.00,0.00,0.07,-0.13,0.33,0.93
17,2.44,1.06,-2.06,-0.25,0.74,0.11,0.00,0.00,0.00,0.08,-0.27,0.30,0.91
18,2.44,1.06,-2.06,0.37,4.91,0.06,0.00,0.00,0.00,0.08,-0.27,0.30,0.91
19,2.44,1.06,-1.62,0.37,4.91,0.06,0.00,0.00,0.00,0.08,-0.27,0.30,0.91
