,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,4.81,0.06,2.50,-0.70,-4.29,-0.11,0.00,0.00,0.00,0.05,-0.01,0.37,0.93
1,3.62,-1.00,-1.31,-0.70,-4.29,-0.11,0.00,0.00,0.00,0.05,-0.01,0.37,0.93
2,3.62,-1.00,-1.31,0.16,0.47,0.08,0.00,0.00,0.00,0.05,-0.01,0.37,0.93
3,3.62,-1.00,-1.31,0.16,0.47,0.08,0.00,0.00,0.00,0.09,-0.19,0.35,0.91
4,3.62,-1.00,-1.31,0.82,5.66,0.08,0.00,0.00,0.00,0.09,-0.19,0.35,0.91
5,4.06,-2.31,-0.25,0.82,5.66,0.08,0.00,0.00,0.00,0.09,-0.19,0.35,0.91
6,4.06,-2.31,-0.25,0.23,5.60,0.12,0.00,0.00,0.00,0.09,-0.19,0.35,0.91
7,4.06,-2.31,-0.25,0.23,5.60,0.12,0.00,0.00,0.00,0.04,0.03,0.38,0.93
8,4.06,-2.31,-0.25,-0.12,4.78,-0.10,0.00,0.00,0.00,0.04,0.03,0.38,0.93
9,5.69,-0.31,2.50,-0.12,4.78,-0.10,0.00,0.00,0.00,0.04,0.03,0.38,0.93
10,5.69,-0.31,2.50,0.77,3.07,-0.01,0.00,0.00,0.00,0.04,0.03,0.38,0.93
11,5.69,-0.31,2.50,0.77,3.07,-0.01,0.00,0.00,0.00,-0.03,0.26,0.37,0.89
12,5.69,-0.31,2.50,0.38,0.89,-0.06,0.00,0.00,0.00,-0.03,0.26,0.37,0.89
13,3.56,-2.19,5.87,0.38,0.89,-0.06,0.00,0.00,0.00,-0.03,0.26,0.37,0.89
14,3.56,-2.19,5.87,-0.49,-2.84,-0.01,0.00,0.00,0.00,-0.03,0.26,0.37,0.89
15,3.56,-2.19,5.87,-0.49,-2.84,-0.01,0.00,0.00,0.00,-0.03,0.29,0.36,0.89
16,3.56,-2.19,5.87,-0.83,-5.57,0.47,0.00,0.00,0.00,-0.03,0.29,0.36,0.89
17,5.25,-0.25,3.62,-0.83,-5.57,0.47,0.00,0.00,0.00,-0.03,0.29,0.36,0.89
18,5.25,-0.25,3.62,-0.31,-6.23,-0.34,0.00,0.00,0.00,-0.03,0.29,0.36,0.89
19,5.25,-0.25,3.62,-0.31,-6.23,-0.34,0.00,0.00,0.00,0.04,0.03,0.37,0.93
20,5.25,-0.25,3.62,-0.24,-3.97,-0.16,0.00,0.00,0.00,0.04,0.03,0.37,0.93
21,2.44,-1.00,-0.19,-0.24,-3.97,-0.16,0.00,0.00,0.00,0.04,0.03,0.37,0.93
22,2.44,-1.00,-0.19,0.31,0.23,-0.07,0.00,0.00,0.00,0.04,0.03,0.37,0.93
23,2.44,-1.00,-0.19,0.31,0.23,-0.07,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
24,2.44,-1.00,-0.19,0.12,3.73,-0.02,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
25,3.62,-0.69,-0.19,0.12,3.73,-0.02,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
26,3.62,-0.69,-0.19,-0.46,5.49,0.07,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
27,3.62,-0.69,-0.19,-0.46,5.49,0.07,0.00,0.00,0.00,0.05,0.03,0.37,0.93
28,3.62,-0.69,-0.19,-0.03,4.34,-0.01,0.00,0.00,0.00,0.05,0.03,0.37,0.93
29,6.06,0.06,4.00,-0.03,4.34,-0.01,0.00,0.00,0.00,0.05,0.03,0.37,0.93
30,6.06,0.06,4.00,0.50,1.01,0.01,0.00,0.00,0.00,0.05,0.03,0.37,0.93
31,6.06,0.06,4.00,0.50,1.01,0.01,0.00,0.00,0.00,-0.02,0.23,0.36,0.90
32,6.06,0.06,4.00,-0.58,-3.03,-0.08,0.00,0.00,0.00,-0.02,0.23,0.36,0.90
33,4.81,0.44,3.62,-0.58,-3.03,-0.08,0.00,0.00,0.00,-0.02,0.23,0.36,0.90
34,4.81,0.44,3.62,-0.25,-6.34,-0.01,0.00,0.00,0.00,-0.02,0.23,0.36,0.90
35,4.81,0.44,3.62,-0.25,-6.34,-0.01,0.00,0.00,0.00,0.03,0.09,0.37,0.93
36,4.81,0.44,3.62,-0.26,-4.68,-0.06,0.00,0.00,0.00,0.03,0.09,0.37,0.93
37,5.25,2.06,0.62,-0.26,-4.68,-0.06,0.00,0.00,0.00,0.03,0.09,0.37,0.93
38,5.25,2.06,0.62,0.67,-2.04,-0.19,0.00,0.00,0.00,0.03,0.09,0.37,0.93
39,5.25,2.06,0.62,0.67,-2.04,-0.19,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
40,5.25,2.06,0.62,0.16,3.72,0.21,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
41,4.87,0.00,-1.31,0.16,3.72,0.21,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
42,4.87,0.00,-1.31,-0.53,6.75,-0.17,0.00,0.00,0.00,0.11,-0.13,0.35,0.92
43,4.87,0.00,-1.31,-0.53,6.75,-0.17,0.00,0.00,0.00,0.06,0.02,0.37,0.93
44,4.87,0.00,-1.31,1.88,5.91,0.19,0.00,0.00,0.00,0.06,0.02,0.37,0.93
45,5.31,-4.00,3.12,1.88,5.91,0.19,0.00,0.00,0.00,0.06,0.02,0.37,0.93
46,5.31,-4.00,3.12,0.61,1.82,0.02,0.00,0.00,0.00,0.06,0.02,0.37,0.93
47,5.31,-4.00,3.12,0.61,1.82,0.02,0.00,0.00,0.00,-0.02,0.27,0.36,0.89
48,5.31,-4.00,3.12,-0.54,-1.98,-0.24,0.00,0.00,0.00,-0.02,0.27,0.36,0.89
49,4.44,-2.25,3.56,-0.54,-1.98,-0.24,0.00,0.00,0.00,-0.02,0.27,0.36,0.89
50,4.44,-2.25,3.56,-0.85,-5.54,0.27,0.00,0.00,0.00,-0.02,0.27,0.36,0.89
51,4.44,-2.25,3.56,-0.85,-5.54,0.27,0.00,0.00,0.00,-0.01,0.17,0.36,0.92
52,4.44,-2.25,3.56,0.87,-6.05,0.04,0.00,0.00,0.00,-0.01,0.17,0.36,0.92
53,5.69,-1.00,2.44,0.87,-6.05,0.04,0.00,0.00,0.00,-0.01,0.17,0.36,0.92
54,5.69,-1.00,2.44,-0.05,-4.76,0.08,0.00,0.00,0.00,-0.01,0.17,0.36,0.92
55,5.69,-1.00,2.44,-0.05,-4.76,0.08,0.00,0.00,0.00,0.11,-0.10,0.35,0.92
56,5.69,-1.00,2.44,0.00,0.32,0.19,0.00,0.00,0.00,0.11,-0.10,0.35,0.92
57,2.37,-0.31,0.19,0.00,0.32,0.19,0.00,0.00,0.00,0.11,-0.10,0.35,0.92
58,2.37,-0.31,0.19,-0.04,5.41,0.13,0.00,0.00,0.00,0.11,-0.10,0.35,0.92
