,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction
0,4.00,-0.31,1.37,0.40,-2.07,0.11,0.00,0.00,0.00,0.04,-0.13,0.31,0.94
1,2.44,-0.69,-1.31,0.40,-2.07,0.11,0.00,0.00,0.00,0.04,-0.13,0.31,0.94
2,2.44,-0.69,-1.31,0.31,4.21,0.32,0.00,0.00,0.00,0.04,-0.13,0.31,0.94
3,2.44,-0.69,-1.31,0.31,4.21,0.32,0.00,0.00,0.00,0.08,-0.23,0.31,0.92
4,2.44,-0.69,-1.31,0.61,7.10,0.14,0.00,0.00,0.00,0.08,-0.23,0.31,0.92
5,3.25,-0.62,0.56,0.61,7.10,0.14,0.00,0.00,0.00,0.08,-0.23,0.31,0.92
6,3.25,-0.62,0.56,-0.69,6.00,0.29,0.00,0.00,0.00,0.08,-0.23,0.31,0.92
7,3.25,-0.62,0.56,-0.69,6.00,0.29,0.00,0.00,0.00,-0.02,0.09,0.33,0.94
8,3.25,-0.62,0.56,0.86,2.53,0.34,0.00,0.00,0.00,-0.02,0.09,0.33,0.94
9,3.94,0.44,3.31,0.86,2.53,0.34,0.00,0.00,0.00,-0.02,0.09,0.33,0.94
10,3.94,0.44,3.31,-0.21,-0.66,-0.02,0.00,0.00,0.00,-0.02,0.09,0.33,0.94
11,3.94,0.44,3.31,-0.21,-0.66,-0.02,0.00,0.00,0.00,-0.03,0.22,0.33,0.92
12,3.94,0.44,3.31,-0.92,-4.25,-0.43,0.00,0.00,0.00,-0.03,0.22,0.33,0.92
13,5.62,1.06,4.44,-0.92,-4.25,-0.43,0.00,0.00,0.00,-0.03,0.22,0.33,0.92
14,5.62,1.06,4.44,1.27,-6.09,-0.17,0.00,0.00,0.00,-0.03,0.22,0.33,0.92
15,5.62,1.06,4.44,1.27,-6.09,-0.17,0.00,0.00,0.00,0.02,0.03,0.33,0.94
16,5.62,1.06,4.44,0.51,-4.91,0.22,0.00,0.00,0.00,0.02,0.03,0.33,0.94
17,2.44,0.37,-1.31,0.51,-4.91,0.22,0.00,0.00,0.00,0.02,0.03,0.33,0.94
18,2.44,0.37,-1.31,-0.44,-0.59,0.11,0.00,0.00,0.00,0.02,0.03,0.33,0.94
19,2.44,0.37,-1.31,-0.44,-0.59,0.11,0.00,0.00,0.00,0.11,-0.17,0.32,0.93
20,2.44,0.37,-1.31,-0.19,1.84,-0.04,0.00,0.00,0.00,0.11,-0.17,0.32,0.93
21,2.87,-2.06,-1.75,-0.19,1.84,-0.04,0.00,0.00,0.00,0.11,-0.17,0.32,0.93
22,2.87,-2.06,-1.75,-0.52,4.13,-0.19,0.00,0.00,0.00,0.11,-0.17,0.32,0.93
23,2.87,-2.06,-1.75,-0.52,4.13,-0.19,0.00,0.00,0.00,0.07,-0.08,0.32,0.94
24,2.87,-2.06,-1.75,-0.30,5.79,0.01,0.00,0.00,0.00,0.07,-0.08,0.32,0.94
25,4.44,-1.31,1.69,-0.30,5.79,0.01,0.00,0.00,0.00,0.07,-0.08,0.32,0.94
26,4.44,-1.31,1.69,0.81,3.58,-0.04,0.00,0.00,0.00,0.07,-0.08,0.32,0.94
27,4.44,-1.31,1.69,0.81,3.58,-0.04,0.00,0.00,0.00,-0.01,0.16,0.32,0.93
28,4.44,-1.31,1.69,-0.06,0.13,0.20,0.00,0.00,0.00,-0.01,0.16,0.32,0.93
29,4.37,0.44,4.00,-0.06,0.13,0.20,0.00,0.00,0.00,-0.01,0.16,0.32,0.93
30,4.37,0.44,4.00,-0.57,-2.80,-0.20,0.00,0.00,0.00,-0.01,0.16,0.32,0.93
31,4.37,0.44,4.00,-0.57,-2.80,-0.20,0.00,0.00,0.00,-0.01,0.17,0.33,0.93
32,4.37,0.44,4.00,0.36,-5.45,-0.21,0.00,0.00,0.00,-0.01,0.17,0.33,0.93
33,3.56,0.75,1.00,0.36,-5.45,-0.21,0.00,0.00,0.00,-0.01,0.17,0.33,0.93
34,3.56,0.75,1.00,0.74,-6.07,-0.09,0.00,0.00,0.00,-0.01,0.17,0.33,0.93
